,target,AMT_INCOME_TOTAL_woe,CUST_FOR_MONTHS_woe,AGE_woe,EMP_YEARS_woe,NAME_FAMILY_STATUS_woe,OCCUPATION_TYPE_woe,FLAG_OWN_REALTY_woe
0,0,-0.17515423171453526,-0.14521897098977082,0.0042813087962174316,-0.09861531237414556,-0.07866220850252885,-0.0026247030008013533,-0.13358880920432573
4,0,0.010725233643362819,-0.14521897098977082,0.36080074944422685,-0.09861531237414556,0.32210203870401,-0.23904712973321574,-0.13358880920432573
7,0,0.3169493474877584,-0.14521897098977082,-0.11153225425332651,0.1260105251605706,-0.14257630696936235,-0.0026247030008013533,-0.13358880920432573
8,0,0.3169493474877584,-0.14521897098977082,-0.11153225425332651,0.1260105251605706,-0.14257630696936235,-0.0026247030008013533,-0.13358880920432573
10,0,0.010725233643362819,-1.0138628024451433,-0.2174903112174887,0.3211102737886968,-0.07866220850252885,-0.0026247030008013533,-0.13358880920432573
12,0,0.06873278669784459,-0.14521897098977082,0.08819064584718576,-0.09861531237414556,-0.07866220850252885,-0.0026247030008013533,-0.13358880920432573
14,0,0.06873278669784459,-0.14521897098977082,0.08819064584718576,-0.09861531237414556,-0.07866220850252885,-0.0026247030008013533,-0.13358880920432573
15,0,0.06873278669784459,-0.14521897098977082,0.08819064584718576,-0.09861531237414556,-0.07866220850252885,-0.0026247030008013533,-0.13358880920432573
16,0,0.06873278669784459,-1.0138628024451433,0.08819064584718576,-0.09861531237414556,-0.07866220850252885,-0.0026247030008013533,-0.13358880920432573
17,0,0.06873278669784459,-2.9648149378529642,0.08819064584718576,-0.09861531237414556,-0.07866220850252885,-0.0026247030008013533,-0.13358880920432573
18,0,0.06873278669784459,-0.14521897098977082,0.4372996372617219,-0.09861531237414556,-0.07866220850252885,-0.0026247030008013533,0.22879369483172188
20,0,-0.3379831033119724,-0.14521897098977082,0.013119570177962194,-0.09861531237414556,-0.07866220850252885,-0.0026247030008013533,-0.13358880920432573
21,0,-0.3379831033119724,-0.14521897098977082,0.013119570177962194,-0.09861531237414556,-0.07866220850252885,-0.0026247030008013533,-0.13358880920432573
22,0,-0.3379831033119724,-0.14521897098977082,0.013119570177962194,-0.09861531237414556,-0.07866220850252885,-0.0026247030008013533,-0.13358880920432573
25,0,0.010725233643362819,-0.14521897098977082,0.0042813087962174316,-0.09861531237414556,-0.07866220850252885,-0.0026247030008013533,-0.13358880920432573
